A,1,A creates file successfully
AAL,1,AAL creates file successfully
AAP,1,AAP creates file successfully
AAPL,1,AAPL creates file successfully
ABBV,1,ABBV creates file successfully
ABC,1,ABC creates file successfully
ABMD,1,ABMD creates file successfully
ABT,1,ABT creates file successfully
ACN,1,ACN creates file successfully
ADBE,1,ADBE creates file successfully
ADI,1,ADI creates file successfully
ADM,1,ADM creates file successfully
ADP,1,ADP creates file successfully
ADS,1,ADS creates file successfully
ADSK,1,ADSK creates file successfully
AEE,1,AEE creates file successfully
AEP,1,AEP creates file successfully
AES,1,AES creates file successfully
AFL,1,AFL creates file successfully
AGN,1,AGN creates file successfully
AIG,1,AIG creates file successfully
AIV,2,AIV creates file successfully
AIZ,1,AIZ creates file successfully
AJG,1,AJG creates file successfully
AKAM,1,AKAM creates file successfully
ALB,1,ALB creates file successfully
ALGN,1,ALGN creates file successfully
ALK,1,ALK creates file successfully
ALL,1,ALL creates file successfully
ALLE,1,ALLE creates file successfully
ALXN,1,ALXN creates file successfully
AMAT,1,AMAT creates file successfully
AMCR,0,AMCR creates file successfully
AMD,1,AMD creates file successfully
AME,1,AME creates file successfully
AMG,1,AMG creates file successfully
AMGN,1,AMGN creates file successfully
AMP,1,AMP creates file successfully
AMT,2,AMT creates file successfully
AMZN,1,AMZN creates file successfully
ANET,1,ANET creates file successfully
ANSS,1,ANSS creates file successfully
ANTM,1,ANTM creates file successfully
AON,1,AON creates file successfully
AOS,1,AOS creates file successfully
APA,1,APA creates file successfully
APC,0,APC does not have data
APD,1,APD creates file successfully
APH,1,APH creates file successfully
APTV,1,APTV creates file successfully
ARE,2,ARE creates file successfully
ARNC,0,ARNC does not have data
ATO,1,ATO creates file successfully
ATVI,1,ATVI creates file successfully
AVB,2,AVB creates file successfully
AVGO,1,AVGO creates file successfully
AVY,1,AVY creates file successfully
AWK,1,AWK creates file successfully
AXP,1,AXP creates file successfully
AZO,1,AZO creates file successfully
BA,1,BA creates file successfully
BAC,1,BAC creates file successfully
BAX,0,BAX creates file successfully
BBT,0,BBT does not have data
BBY,1,BBY creates file successfully
BDX,1,BDX creates file successfully
BEN,1,BEN creates file successfully
BF.B,1,BF-B creates file successfully
BHGE,0,BHGE does not have data
BIIB,1,BIIB creates file successfully
BK,1,BK creates file successfully
BKNG,1,BKNG creates file successfully
BLK,1,BLK creates file successfully
BLL,1,BLL creates file successfully
BMY,1,BMY creates file successfully
BR,1,BR creates file successfully
BRK.B,1,BRK-B creates file successfully
BSX,1,BSX creates file successfully
BWA,1,BWA creates file successfully
BXP,2,BXP creates file successfully
C,1,C creates file successfully
CAG,1,CAG creates file successfully
CAH,1,CAH creates file successfully
CAT,1,CAT creates file successfully
CB,1,CB creates file successfully
CBOE,1,CBOE creates file successfully
CBRE,1,CBRE creates file successfully
CBS,0,CBS creates file successfully
CCI,2,CCI creates file successfully
CCL,1,CCL creates file successfully
CDNS,1,CDNS creates file successfully
CE,1,CE creates file successfully
CELG,0,CELG does not have data
CERN,1,CERN creates file successfully
CF,1,CF creates file successfully
CFG,1,CFG creates file successfully
CHD,1,CHD creates file successfully
CHRW,1,CHRW creates file successfully
CHTR,1,CHTR creates file successfully
CI,1,CI creates file successfully
CINF,1,CINF creates file successfully
CL,1,CL creates file successfully
CLX,1,CLX creates file successfully
CMA,1,CMA creates file successfully
CMCSA,1,CMCSA creates file successfully
CME,1,CME creates file successfully
CMG,1,CMG creates file successfully
CMI,1,CMI creates file successfully
CMS,1,CMS creates file successfully
CNC,1,CNC creates file successfully
CNP,1,CNP creates file successfully
COF,1,COF creates file successfully
COG,1,COG creates file successfully
COO,1,COO creates file successfully
COP,1,COP creates file successfully
COST,1,COST creates file successfully
COTY,1,COTY creates file successfully
CPB,1,CPB creates file successfully
CPRI,1,CPRI creates file successfully
CPRT,1,CPRT creates file successfully
CRM,1,CRM creates file successfully
CSCO,1,CSCO creates file successfully
CSX,1,CSX creates file successfully
CTAS,1,CTAS creates file successfully
CTL,1,CTL creates file successfully
CTSH,1,CTSH creates file successfully
CTVA,1,CTVA creates file successfully
CTXS,1,CTXS creates file successfully
CVS,1,CVS creates file successfully
CVX,1,CVX creates file successfully
CXO,1,CXO creates file successfully
D,1,D creates file successfully
DAL,1,DAL creates file successfully
DD,1,DD creates file successfully
DE,1,DE creates file successfully
DFS,1,DFS creates file successfully
DG,1,DG creates file successfully
DGX,1,DGX creates file successfully
DHI,1,DHI creates file successfully
DHR,1,DHR creates file successfully
DIS,1,DIS creates file successfully
DISCA,1,DISCA creates file successfully
DISCK,0,DISCK creates file successfully
DISH,1,DISH creates file successfully
DLR,2,DLR creates file successfully
DLTR,1,DLTR creates file successfully
DOV,1,DOV creates file successfully
DOW,1,DOW creates file successfully
DRE,2,DRE creates file successfully
DRI,1,DRI creates file successfully
DTE,1,DTE creates file successfully
DUK,1,DUK creates file successfully
DVA,1,DVA creates file successfully
DVN,1,DVN creates file successfully
DXC,1,DXC creates file successfully
EA,1,EA creates file successfully
EBAY,1,EBAY creates file successfully
ECL,1,ECL creates file successfully
ED,1,ED creates file successfully
EFX,1,EFX creates file successfully
EIX,1,EIX creates file successfully
EL,1,EL creates file successfully
EMN,1,EMN creates file successfully
EMR,1,EMR creates file successfully
EOG,1,EOG creates file successfully
EQIX,2,EQIX creates file successfully
EQR,2,EQR creates file successfully
ES,1,ES creates file successfully
ESS,2,ESS creates file successfully
ETFC,1,ETFC creates file successfully
ETN,1,ETN creates file successfully
ETR,1,ETR creates file successfully
EVRG,1,EVRG creates file successfully
EW,1,EW creates file successfully
EXC,1,EXC creates file successfully
EXPD,1,EXPD creates file successfully
EXPE,1,EXPE creates file successfully
EXR,2,EXR creates file successfully
F,1,F creates file successfully
FANG,1,FANG creates file successfully
FAST,1,FAST creates file successfully
FB,1,FB creates file successfully
FBHS,1,FBHS creates file successfully
FCX,1,FCX creates file successfully
FDX,1,FDX creates file successfully
FE,1,FE creates file successfully
FFIV,1,FFIV creates file successfully
FIS,1,FIS creates file successfully
FISV,1,FISV creates file successfully
FITB,1,FITB creates file successfully
FL,1,FL creates file successfully
FLIR,1,FLIR creates file successfully
FLS,1,FLS creates file successfully
FLT,1,FLT creates file successfully
FMC,1,FMC creates file successfully
FOX,0,FOX creates file successfully
FOXA,1,FOXA creates file successfully
FRC,1,FRC creates file successfully
FRT,2,FRT creates file successfully
FTI,1,FTI creates file successfully
FTNT,1,FTNT creates file successfully
FTV,1,FTV creates file successfully
GD,1,GD creates file successfully
GE,1,GE creates file successfully
GILD,1,GILD creates file successfully
GIS,1,GIS creates file successfully
GLW,1,GLW creates file successfully
GM,1,GM creates file successfully
GOOG,1,GOOG creates file successfully
GOOGL,1,GOOGL creates file successfully
GPC,1,GPC creates file successfully
GPN,1,GPN creates file successfully
GPS,1,GPS creates file successfully
GRMN,1,GRMN creates file successfully
GS,1,GS creates file successfully
GWW,1,GWW creates file successfully
HAL,1,HAL creates file successfully
HAS,1,HAS creates file successfully
HBAN,1,HBAN creates file successfully
HBI,1,HBI creates file successfully
HCA,1,HCA creates file successfully
HCP,0,HCP does not have data
HD,1,HD creates file successfully
HES,1,HES creates file successfully
HFC,1,HFC creates file successfully
HIG,1,HIG creates file successfully
HII,1,HII creates file successfully
HLT,1,HLT creates file successfully
HOG,1,HOG creates file successfully
HOLX,1,HOLX creates file successfully
HON,1,HON creates file successfully
HP,1,HP creates file successfully
HPE,1,HPE creates file successfully
HPQ,1,HPQ creates file successfully
HRB,1,HRB creates file successfully
HRL,1,HRL creates file successfully
HSIC,1,HSIC creates file successfully
HST,2,HST creates file successfully
HSY,1,HSY creates file successfully
HUM,1,HUM creates file successfully
IBM,1,IBM creates file successfully
ICE,1,ICE creates file successfully
IDXX,1,IDXX creates file successfully
IFF,1,IFF creates file successfully
ILMN,1,ILMN creates file successfully
INCY,1,INCY creates file successfully
INFO,1,INFO creates file successfully
INTC,1,INTC creates file successfully
INTU,1,INTU creates file successfully
IP,1,IP creates file successfully
IPG,1,IPG creates file successfully
IPGP,1,IPGP creates file successfully
IQV,1,IQV creates file successfully
IR,1,IR creates file successfully
IRM,2,IRM creates file successfully
ISRG,1,ISRG creates file successfully
IT,1,IT creates file successfully
ITW,1,ITW creates file successfully
IVZ,1,IVZ creates file successfully
JBHT,1,JBHT creates file successfully
JCI,1,JCI creates file successfully
JEC,0,JEC creates file successfully
JEF,0,JEF creates file successfully
JKHY,1,JKHY creates file successfully
JNJ,1,JNJ creates file successfully
JNPR,1,JNPR creates file successfully
JPM,1,JPM creates file successfully
JWN,1,JWN creates file successfully
K,1,K creates file successfully
KEY,1,KEY creates file successfully
KEYS,1,KEYS creates file successfully
KHC,1,KHC creates file successfully
KIM,2,KIM creates file successfully
KLAC,1,KLAC creates file successfully
KMB,1,KMB creates file successfully
KMI,1,KMI creates file successfully
KMX,1,KMX creates file successfully
KO,1,KO creates file successfully
KR,1,KR creates file successfully
KSS,1,KSS creates file successfully
KSU,1,KSU creates file successfully
L,1,L creates file successfully
LB,1,LB creates file successfully
LEG,1,LEG creates file successfully
LEN,1,LEN creates file successfully
LH,1,LH creates file successfully
LHX,1,LHX creates file successfully
LIN,1,LIN creates file successfully
LKQ,1,LKQ creates file successfully
LLY,1,LLY creates file successfully
LMT,1,LMT creates file successfully
LNC,1,LNC creates file successfully
LNT,0,LNT creates file successfully
LOW,1,LOW creates file successfully
LRCX,1,LRCX creates file successfully
LUV,1,LUV creates file successfully
LW,1,LW creates file successfully
LYB,1,LYB creates file successfully
M,1,M creates file successfully
MA,1,MA creates file successfully
MAA,2,MAA creates file successfully
MAC,2,MAC creates file successfully
MAR,1,MAR creates file successfully
MAS,1,MAS creates file successfully
MCD,1,MCD creates file successfully
MCHP,1,MCHP creates file successfully
MCK,1,MCK creates file successfully
MCO,1,MCO creates file successfully
MDLZ,1,MDLZ creates file successfully
MDT,1,MDT creates file successfully
MET,1,MET creates file successfully
MGM,1,MGM creates file successfully
MHK,1,MHK creates file successfully
MKC,1,MKC creates file successfully
MKTX,1,MKTX creates file successfully
MLM,1,MLM creates file successfully
MMC,1,MMC creates file successfully
MMM,1,MMM creates file successfully
MNST,1,MNST creates file successfully
MO,1,MO creates file successfully
MOS,1,MOS creates file successfully
MPC,1,MPC creates file successfully
MRK,1,MRK creates file successfully
MRO,1,MRO creates file successfully
MS,1,MS creates file successfully
MSCI,1,MSCI creates file successfully
MSFT,1,MSFT creates file successfully
MSI,1,MSI creates file successfully
MTB,1,MTB creates file successfully
MTD,1,MTD creates file successfully
MU,1,MU creates file successfully
MXIM,1,MXIM creates file successfully
MYL,1,MYL creates file successfully
NBL,1,NBL creates file successfully
NCLH,1,NCLH creates file successfully
NDAQ,1,NDAQ creates file successfully
NEE,1,NEE creates file successfully
NEM,1,NEM creates file successfully
NFLX,1,NFLX creates file successfully
NI,0,NI creates file successfully
NKE,1,NKE creates file successfully
NKTR,1,NKTR creates file successfully
NLSN,1,NLSN creates file successfully
NOC,1,NOC creates file successfully
NOV,1,NOV creates file successfully
NRG,1,NRG creates file successfully
NSC,1,NSC creates file successfully
NTAP,1,NTAP creates file successfully
NTRS,1,NTRS creates file successfully
NUE,1,NUE creates file successfully
NVDA,1,NVDA creates file successfully
NWL,1,NWL creates file successfully
NWS,0,NWS creates file successfully
NWSA,1,NWSA creates file successfully
O,2,O creates file successfully
OKE,1,OKE creates file successfully
OMC,1,OMC creates file successfully
ORCL,1,ORCL creates file successfully
ORLY,1,ORLY creates file successfully
OXY,1,OXY creates file successfully
PAYX,1,PAYX creates file successfully
PBCT,1,PBCT creates file successfully
PCAR,1,PCAR creates file successfully
PEG,1,PEG creates file successfully
PEP,1,PEP creates file successfully
PFE,1,PFE creates file successfully
PFG,1,PFG creates file successfully
PG,1,PG creates file successfully
PGR,1,PGR creates file successfully
PH,1,PH creates file successfully
PHM,1,PHM creates file successfully
PKG,1,PKG creates file successfully
PKI,1,PKI creates file successfully
PLD,2,PLD creates file successfully
PM,1,PM creates file successfully
PNC,1,PNC creates file successfully
PNR,1,PNR creates file successfully
PNW,1,PNW creates file successfully
PPG,1,PPG creates file successfully
PPL,1,PPL creates file successfully
PRGO,1,PRGO creates file successfully
PRU,1,PRU creates file successfully
PSA,2,PSA creates file successfully
PSX,1,PSX creates file successfully
PVH,1,PVH creates file successfully
PWR,1,PWR creates file successfully
PXD,1,PXD creates file successfully
PYPL,1,PYPL creates file successfully
QCOM,1,QCOM creates file successfully
QRVO,1,QRVO creates file successfully
RCL,1,RCL creates file successfully
RE,1,RE creates file successfully
REG,2,REG creates file successfully
REGN,1,REGN creates file successfully
RF,1,RF creates file successfully
RHI,1,RHI creates file successfully
RJF,1,RJF creates file successfully
RL,1,RL creates file successfully
RMD,1,RMD creates file successfully
ROK,1,ROK creates file successfully
ROL,1,ROL creates file successfully
ROP,1,ROP creates file successfully
ROST,1,ROST creates file successfully
RSG,1,RSG creates file successfully
RTN,0,RTN creates file successfully
SBAC,1,SBAC creates file successfully
SBUX,1,SBUX creates file successfully
SCHW,1,SCHW creates file successfully
SEE,1,SEE creates file successfully
SHW,1,SHW creates file successfully
SIVB,1,SIVB creates file successfully
SJM,1,SJM creates file successfully
SLB,1,SLB creates file successfully
SLG,2,SLG creates file successfully
SNA,1,SNA creates file successfully
SNPS,1,SNPS creates file successfully
SO,1,SO creates file successfully
SPG,2,SPG creates file successfully
SPGI,1,SPGI creates file successfully
SRE,1,SRE creates file successfully
STI,0,STI creates file successfully
STT,1,STT creates file successfully
STX,1,STX creates file successfully
STZ,1,STZ creates file successfully
SWK,1,SWK creates file successfully
SWKS,1,SWKS creates file successfully
SYF,1,SYF creates file successfully
SYK,1,SYK creates file successfully
SYMC,0,SYMC does not have data
SYY,1,SYY creates file successfully
T,1,T creates file successfully
TAP,1,TAP creates file successfully
TDG,1,TDG creates file successfully
TEL,1,TEL creates file successfully
TFX,1,TFX creates file successfully
TGT,1,TGT creates file successfully
